Data:X,Data:Y,Source:X,Source:Y
0.3,0,113,90
0.31,0,116.6381,90
0.32,0,120.2762,90
0.33,0,123.9143,90
0.34,0,127.5524,90
0.35,0.3275923,131.1905,323
0.36,0.34587,134.8286,336
0.37,0.3648506,138.4667,349.5
0.38,0.3866432,142.1048,365
0.39,0.3950791,145.7429,371
0.4,0.4070299,149.381,379.5
0.41,0.4168717,153.019,386.5
0.42,0.4217926,156.6571,390
0.43,0.4274165,160.2952,394
0.44,0.4330404,163.9333,398
0.45,0.4358524,167.5714,400
0.46,0.4407733,171.2095,403.5
0.47,0.4442882,174.8476,406
0.48,0.4478032,178.4857,408.5
0.49,0.4492092,182.1238,409.5
0.5,0.4492092,185.7619,409.5
0.5100001,0.4534271,189.4,412.5
0.52,0.456239,193.0381,414.5
0.53,0.459051,196.6762,416.5
0.54,0.459051,200.3143,416.5
0.55,0.4618629,203.9524,418.5
0.56,0.4632689,207.5905,419.5
0.5700001,0.4653779,211.2286,421
0.58,0.4667839,214.8667,422
0.59,0.4702988,218.5048,424.5
0.6,0.4717048,222.1429,425.5
0.61,0.4731107,225.7809,426.5
0.62,0.4766257,229.419,429
0.6300001,0.4787346,233.0571,430.5
0.64,0.4801406,236.6952,431.5
0.65,0.4857645,240.3333,435.5
0.66,0.4885765,243.9714,437.5
0.67,0.4920914,247.6095,440
0.68,0.4970123,251.2476,443.5
0.6900001,0.5005273,254.8857,446
0.7,0.5033392,258.5238,448
0.71,0.5082601,262.1619,451.5
0.72,0.511072,265.8,453.5
0.73,0.513884,269.4381,455.5
0.74,0.515993,273.0762,457
0.7500001,0.5181019,276.7143,458.5
0.7600001,0.517399,280.3524,458
0.77,0.51529,283.9905,456.5
0.78,0.51529,287.6286,456.5
0.79,0.511072,291.2667,453.5
0.8,0.5068541,294.9048,450.5
0.8100001,0.5005273,298.5428,446
0.8200001,0.4927944,302.1809,440.5
0.83,0.4857645,305.819,435.5
0.84,0.4759227,309.4571,428.5
0.85,0.4681898,313.0952,423
0.86,0.457645,316.7333,415.5
0.8700001,0.4506151,320.3714,410.5
0.8800001,0.4435852,324.0095,405.5
0.89,0.4365554,327.6476,400.5
0.9,0.4323374,331.2857,397.5
0.91,0.4288225,334.9238,395
0.92,0.4267135,338.5619,393.5
0.9300001,0.4253076,342.2,392.5
0.9400001,0.4267135,345.8381,393.5
0.95,0.4267135,349.4762,393.5
0.96,0.4288225,353.1143,395
0.97,0.4330404,356.7524,398
0.98,0.4379613,360.3905,401.5
0.9900001,0.4421793,364.0286,404.5
1,0.4463972,367.6667,407.5
1.01,0.4506151,371.3047,410.5
1.02,0.4534271,374.9428,412.5
1.03,0.459051,378.5809,416.5
1.04,0.4646749,382.2191,420.5
1.05,0.4688928,385.8571,423.5
1.06,0.4731107,389.4952,426.5
1.07,0.4787346,393.1333,430.5
1.08,0.4836555,396.7714,434
1.09,0.4899824,400.4095,438.5
1.1,0.4963093,404.0476,443
1.11,0.4998243,407.6857,445.5
1.12,0.5075572,411.3238,451
1.13,0.511072,414.9619,453.5
1.14,0.513884,418.6,455.5
1.15,0.517399,422.2381,458
1.16,0.5195079,425.8762,459.5
1.17,0.5223199,429.5143,461.5
1.18,0.5237259,433.1524,462.5
1.19,0.5251318,436.7905,463.5
1.2,0.5265378,440.4286,464.5
1.21,0.5279438,444.0667,465.5
1.22,0.5279438,447.7047,465.5
1.23,0.5300527,451.3428,467
1.24,0.5293497,454.981,466.5
1.25,0.5307557,458.619,467.5
1.26,0.5335677,462.2571,469.5
1.27,0.5349736,465.8952,470.5
1.28,0.5349736,469.5333,470.5
1.29,0.5384886,473.1714,473
1.3,0.5398946,476.8095,474
1.31,0.5434095,480.4476,476.5
1.32,0.5462214,484.0857,478.5
1.33,0.5462214,487.7238,478.5
1.34,0.5490334,491.3619,480.5
1.35,0.5504394,495,481.5
1.36,0.5532513,498.6381,483.5
1.37,0.5560633,502.2762,485.5
1.38,0.5581722,505.9143,487
1.39,0.5609842,509.5524,489
1.4,0.5630931,513.1905,490.5
1.41,0.5652021,516.8286,492
1.42,0.5673111,520.4667,493.5
1.43,0.5687171,524.1047,494.5
1.44,0.571529,527.7429,496.5
1.45,0.572935,531.3809,497.5
1.46,0.5750439,535.019,499
1.47,0.575747,538.6571,499.5
1.48,0.5771529,542.2952,500.5
1.49,0.5785589,545.9333,501.5
1.5,0.5785589,549.5714,501.5
1.51,0.5799649,553.2095,502.5
1.52,0.5799649,556.8476,502.5
1.53,0.5799649,560.4857,502.5
1.54,0.5799649,564.1238,502.5
1.55,0.5799649,567.7619,502.5
1.56,0.5799649,571.4,502.5
1.57,0.5785589,575.0381,501.5
1.58,0.5799649,578.6761,502.5
1.59,0.5785589,582.3143,501.5
1.6,0.5771529,585.9524,500.5
1.61,0.575747,589.5905,499.5
1.62,0.572935,593.2286,497.5
1.63,0.572232,596.8666,497
1.64,0.5687171,600.5048,494.5
1.65,0.5659051,604.1428,492.5
1.66,0.5659051,607.7809,492.5
1.67,0.5630931,611.419,490.5
1.68,0.5609842,615.0571,489
1.69,0.5595782,618.6953,488
1.7,0.5560633,622.3333,485.5
1.71,0.5532513,625.9714,483.5
1.72,0.5518454,629.6095,482.5
1.73,0.5490334,633.2476,480.5
1.74,0.5476274,636.8857,479.5
1.75,0.5462214,640.5238,478.5
1.76,0.5448155,644.1619,477.5
1.77,0.5420035,647.8,475.5
1.78,0.5384886,651.4381,473
1.79,0.5363796,655.0762,471.5
1.8,0.5335677,658.7143,469.5
1.81,0.5321617,662.3524,468.5
1.82,0.5279438,665.9905,465.5
1.83,0.5265378,669.6285,464.5
1.84,0.5251318,673.2667,463.5
1.85,0.5251318,676.9047,463.5
1.86,0.5223199,680.5428,461.5
1.87,0.5223199,684.1809,461.5
1.88,0.5202109,687.819,460
1.89,0.5195079,691.4572,459.5
1.9,0.5195079,695.0952,459.5
1.91,0.5181019,698.7333,458.5
1.92,0.517399,702.3714,458
1.93,0.51529,706.0095,456.5
1.94,0.516696,709.6476,457.5
1.95,0.516696,713.2857,457.5
1.96,0.516696,716.9238,457.5
1.97,0.516696,720.5619,457.5
1.98,0.5181019,724.2,458.5
1.99,0.5195079,727.8381,459.5
2,0.5195079,731.4762,459.5
2.01,0.5209139,735.1143,460.5
2.02,0.5223199,738.7524,461.5
2.03,0.5237259,742.3904,462.5
2.04,0.5251318,746.0286,463.5
2.05,0.5265378,749.6666,464.5
2.06,0.5279438,753.3047,465.5
2.07,0.5293497,756.9428,466.5
2.08,0.5321617,760.5809,468.5
2.09,0.5342706,764.2191,470
2.1,0.5349736,767.8571,470.5
2.11,0.5377856,771.4952,472.5
2.12,0.5405976,775.1333,474.5
2.13,0.5405976,778.7714,474.5
2.14,0.5441125,782.4095,477
2.15,0.5441125,786.0476,477
2.16,0.5448155,789.6857,477.5
2.17,0.5476274,793.3238,479.5
2.18,0.5476274,796.9619,479.5
2.19,0.5504394,800.6,481.5
2.2,0.5525483,804.2381,483
2.21,0.5546573,807.8762,484.5
2.22,0.5560633,811.5143,485.5
2.23,0.5588752,815.1523,487.5
2.24,0.5588752,818.7905,487.5
2.25,0.5630931,822.4285,490.5
2.26,0.5652021,826.0667,492
2.27,0.5666081,829.7048,493
2.28,0.5673111,833.3428,493.5
2.29,0.570826,836.981,496
2.3,0.5743409,840.619,498.5
2.31,0.5771529,844.2571,500.5
2.32,0.5785589,847.8952,501.5
2.33,0.5813708,851.5333,503.5
2.34,0.5827768,855.1714,504.5
2.35,0.5855888,858.8095,506.5
2.36,0.5884007,862.4476,508.5
2.37,0.5912127,866.0857,510.5
2.38,0.5940246,869.7238,512.5
2.39,0.5968366,873.3619,514.5
2.4,0.5982425,877,515.5
